id	label	Gender	Occupations	Subjects	Monthly Meeting	
w6ph2gz9	Roberts, Rebecca Stokes, 1720-1815	Female	Clergy;Quakers;Women clergy	Society of Friends--Clergy;Society of Friends;Quakers;Society of Friends--Lay ministry	Chester Monthly Meeting (Society of Friends : 1803-1827 : Moorestown, N.J.)	
w6vj6d7g	Thornton James 1761-1794	Male	Quakers	Quakers	Unknown	
w65q5g7f	Fothergill, Samuel, 1715-1772	Male	Quakers;Clergy	Sermons, English--18th century;Quakers;Lay ministry--Society of Friends;Quakers--18th century--Sermons;Society of Friends--Clergy;Society of Friends	Chester Monthly Meeting (Society of Friends : 1803-1827 : Moorestown, N.J.)	
w6hj799d	Collins, Elizabeth, 1755-1831	Female	Clergy;Quakers;Women clergy	Society of Friends--Clergy;Quakers;Society of Friends;Society of Friends--Lay ministry	Unknown	
w6650f8c	Cowperthwaite, Rebekah, 1778-1861	Female	Women clergy;Clergy;Quakers	Quakers;Society of Friends;Quaker women;Lay ministry--Society of Friends;Society of Friends--Clergy	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w6cg1kgr	Churchman, John, 1705-1775	Male	Clergy;Quakers	Society of Friends;Voyages and travels;Clergy--Travel;Lay ministry--Society of Friends;Society of Friends--Clergy;Quakers	Nottingham Monthly Meeting (Society of Friends);New Garden Monthly Meeting (Society of Friends : Chester County, Pa.)	
w6tz45z2	Matlack, William, 1725-1795	Male	Quakers	Society of Friends;Quakers	Haddonfield Monthly Meeting of the Religious Society of Friends;Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w6jn3260	Hunt, Nathan, 1800-	Male			Unknown	
w6hv3dtz	Evans, Caleb, 1737-	Male	Quakers	Quakers;Society of Friends	Upper Evesham Monthly Meeting (Society of Friends : 1793-1827);Haddonfield Monthly Meeting of the Religious Society of Friends;Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w6rj4s40	Hicks, Elias, 1748-1830		Farmers	Quakers;Slaves--Emancipation;Lay ministry--Society of Friends;Hicksites--19th century;Society of Friends--History;Slaveholders;Quakers--Relations with African Americans;Sermons, American;Society of Friends--Sermons;Church controversies--Society of Friends	Monthly Meeting of Friends of Westbury and Jericho (Orthodox : 1828-1870)	
w61h1brp	Coles, Job, 1748-1828	Male	Quakers	Quakers;Society of Friends	Haddonfield Monthly Meeting of the Religious Society of Friends	
w63z8z1g	Andrews, Isaac, approximately 1715-1775	Male	Quakers;Clergy	Society of Friends--Clergy;Quakers;Society of Friends;Clergy;Lay ministry--Society of Friends	Unknown	
w6wx87x7	Hunt, Esther Warrington, 1743-1833	Female	Quakers	Society of Friends;Quakers	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w6xt6kpr	Edwards, Ann, 1773-1820	Female	Quakers;Clergy;Women clergy	Society of Friends--Clergy;Quakers;Quaker converts;Quaker women;Drowning victims;Society of Friends;Society of Friends--Lay ministry	Chester Monthly Meeting (Society of Friends : 1803-1827 : Moorestown, N.J.)	
w6f29q6b	Stevenson, Mary, 1730-1788	Female	Women clergy;Quakers;Clergy	Quakers;Society of Friends--Clergy;Quaker women;Lay ministry--Society of Friends;Society of Friends	Upper Springfield Monthly Meeting of Friends (Hicksite)	
w6s1844s	Benezet, Anthony, 1713-1784	Male	Quakers;Teachers;Quaker abolitionists	Quakers;Society of Friends;Abolitionists;Quakers--Correspondence;Education;African Americans--Education;Manuscripts, American;Slavery;Public schools--History--18th century--Sources;Education--Costs--Early works to 1800;Teachers;Women--Education--History--18th century--Sources;Fugitive slaves;Antislavery movements;Quakers--Biography;Slaves--Emancipation;Abolitionists--Correspondence;Religious education of children;Slavery--Law and legislation	Monthly Meeting of Friends of Philadelphia	
w6qk87tw	Buzby, Hannah Stokes, -1815	Female	Quakers	Quakers;Society of Friends;Quaker women	Burlington Monthly Meeting of Friends (1827-1959 : Rancocas, N.J.)	
w6d59f93	Vickers, Thomas, 1720-1793	Male	Quakers;Clergy	Quakers;Society of Friends;Lay ministry--Society of Friends	Unknown	
w6wh4nqv	French, Robert, 1749-1811	Male	Quakers	Society of Friends;Quakers	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.);Chester Monthly Meeting (Society of Friends : 1803-1827 : Moorestown, N.J.)	
w6fs0n6b	Cowperthwaite, Job, -1813	Male	Quakers	Quakers;Society of Friends	Chester Monthly Meeting (Society of Friends : 1681-1827)	
w66794np	Reeve, Mark, 1724-1788	Male	Clergy;Quakers	Children--Death;Lay ministry--Society of Friends;Society of Friends;Society of Friends--Clergy;Marl;Quakers	Greenwich Monthly Meeting of Friends	
w6k08k1m	Roberts, Rachel H., 1791-1881			Society of Friends--Discipline	Redstone Monthly Meeting (Society of Friends)	
w6s8464h	Lippincott, Elizabeth A.				Unknown	
w63n62nx	Hunt, Elisha, 1779-1873				Unknown	
w6wh3qkh	Hunt, Nathan, 1758-1853	Male	Blacksmith;Clergy;Quakers	Clergy--Travel;Voyages and travels;Quakers;Lay ministry--Society of Friends;Quaker abolitionists;Society of Friends;Society of Friends--Clergy	Unknown	
w6h44564	Warrington, Henry				Unknown	
w61m02bn	Roberts, Enoch, 1718-1782	Male	Quakers	Quakers;Society of Friends	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w66t871b	Kaighn, Joseph, 1734?-1797	Male	Quakers	Real property;Land owners;Society of Friends;Quakers	Haddonfield Monthly Meeting of the Religious Society of Friends	
w6kp9nc6	Foulke, Elizabeth, 1758-1820	Female	Clergy;Quakers;Women clergy	Quaker women;Quakers;Lay ministry--Society of Friends;Society of Friends	Unknown	
w6ht6kfw	Cresson, Sarah, 1771-1829	Female	Women clergy;Quakers;Clergy	Women--Religious life;Society of Friends--Clergy;Society of Friends;Lay ministry--Society of Friends;Women clergy;Quaker women;Women--Mental health;Quakers;Quaker women--Diaries	Haddonfield Monthly Meeting of the Religious Society of Friends	
w6jb6xn6	Lippincott, Joshua, 1732-1813	Male	Quakers;Elders	Society of Friends;Quakers	Unknown	
w6qr572m	Darby, Deborah, 1754-1810	Female	Women clergy;Quakers;Clergy	Lay ministry--Society of Friends;Quakers;Clergy--Travel;Society of Friends--Clergy	Unknown	
w6q924kg	Lippincott, Caleb, 1740-	Male	Quakers;Yeomen	Quakers;Society of Friends	Haddonfield Monthly Meeting of the Religious Society of Friends	
w6kx66c3	Yarnall, Peter, 1754-1798	Male	Quakers;Clergy;Doctors;Soldiers;Slaveholders;Army surgeons;Tanners	Lay ministry--Society of Friends;Society of Friends--Clergy;Society of Friends;Ministers (Clergy);Quaker physicians;Quakers	Uwchlan Monthly Meeting (Society of Friends);Horsham Monthly Meeting of Friends;Concord Monthly Meeting (Society of Friends)	
w66v1c5g	Roberts, Ebenezer, 1776-1854	Male	Quakers;Clergy	Quakers;Society of Friends;Clergy--Travel;Lay ministry--Society of Friends;Society of Friends--Clergy;Voyages and travels	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.);Chester Monthly Meeting (Society of Friends : 1681-1827)	
w6xq7wg4	Drinker, Elizabeth, 1737-1794	Female	Quakers;Clergy;Women clergy	Quaker women;Lay ministry--Society of Friends;Society of Friends--Clergy;Clergy--Travel;Society of Friends;Quakers	Unknown	
w6n69bqr	Zane, Isaac, 1710-1794	Male	Quakers;Carpenters--18th century.--Pennsylvania--Philadelphia;Elders;Carpenters	Society of Friends;Quakers;Church work with Indians--Society of Friends;Slavery and the church--Society of Friends	Monthly Meeting of Friends of Philadelphia	
w6zq4xpd	Collins, Job, 1782-1814	Male	Quakers	Society of Friends;Quakers	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.);Chester Monthly Meeting (Society of Friends : 1681-1827)	
w60h49r3	Roberts, William, 1753-1829	Male	Quakers	Quakers;Society of Friends	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w65t3wn2	Smith, Samuel, 1737-1817	Male	Quakers;Clergy	Clergy--Travel;Society of Friends;Quakers;Lay ministry--Society of Friends;Society of Friends--Lay ministry;Society of Friends--Clergy;Society of Friends--Journals;Voyages and travels	Monthly Meeting of Friends of Philadelphia for the Northern District;Middletown Monthly Meeting (Society of Friends : Delaware County, Pa.)	
